,f0_hz,loudness_db,f0_confidence
86,34.44603,-80.88918,0.39951771
87,34.50234,-80.752464,0.14297831
88,38.209988,-80.59159,0.30648798
89,44.44692,-80.305176,0.54016197
90,50.260967,-80.02248,0.6070628
91,50.262184,-79.81392,0.4056525
92,50.213253,-79.632576,0.41754228
93,50.053204,-79.533936,0.27933562
94,50.008327,-79.477,0.10178028
95,49.57127,-79.44521,0.26218697
96,49.479412,-79.51436,0.4098843
97,49.36329,-79.65678,0.44024214
98,49.269806,-79.8349,0.40205348
99,49.360676,-80.101006,0.31032896
100,49.59474,-80.439514,0.3915823
101,49.45434,-80.67991,0.46180335
102,49.522373,-80.82767,0.4106952
103,49.69907,-80.91516,0.31964552
104,50.00679,-80.955864,0.2260619
105,50.23071,-80.924835,0.20485248
106,50.39241,-80.94891,0.12665
107,50.367176,-80.88251,0.054711238
108,50.38371,-80.84925,0.058479197
109,50.42562,-80.81985,0.08138465
110,50.27696,-80.735886,0.35047287
111,50.382797,-80.70166,0.3355927
112,50.265224,-80.55967,0.3183258
113,50.532013,-80.55957,0.34973466
114,50.45375,-80.62429,0.49426183
115,50.47245,-80.67285,0.54048634
116,50.295223,-80.7536,0.6016447
117,50.198616,-80.92152,0.62976485
118,50.275635,-81.112526,0.6772414
119,50.156044,-81.191864,0.72653764
120,50.113365,-81.25835,0.7331309
121,50.124115,-81.33805,0.46919686
122,50.066208,-81.4548,0.47235346
123,50.031815,-81.47178,0.23306692
124,50.104813,-81.540726,0.08944324
125,50.112732,-81.55674,0.08891206
126,50.256687,-81.60634,0.11778632
127,50.498245,-81.66369,0.11026708
128,50.89227,-81.72441,0.16682997
129,50.71719,-81.70302,0.28234473
130,50.695,-81.74887,0.21955435
131,50.43532,-81.76692,0.27212536
132,50.15366,-81.70152,0.21363352
133,49.857967,-81.71663,0.27937648
134,49.516308,-81.70632,0.13850869
135,49.193134,-81.69266,0.4498759
136,49.162117,-81.768616,0.5856366
137,49.052696,-81.84254,0.5461958
138,49.263695,-81.938995,0.6625965
139,49.365242,-81.930984,0.6637913
140,49.69498,-81.88244,0.54465574
141,49.76347,-81.878914,0.21713649
142,49.855824,-81.81411,0.16040269
143,49.885445,-81.77133,0.5670812
144,49.79161,-81.7791,0.48689076
145,49.60767,-81.77081,0.40976998
146,49.456005,-81.755135,0.27873933
147,49.4778,-81.74603,0.08879234
148,49.52163,-81.77288,0.055281408
149,49.585804,-81.77706,0.08202841
150,49.68384,-81.8221,0.10261458
151,50.00195,-81.86008,0.081153326
152,50.16715,-81.91381,0.19556719
153,50.277103,-81.89367,0.2286763
154,50.546223,-81.875786,0.24407518
155,50.515144,-81.89659,0.2855796
156,50.380676,-81.88423,0.29955256
157,50.383595,-81.89201,0.4092317
158,50.284584,-81.89926,0.48678353
159,50.157673,-81.96959,0.48946843
160,50.14545,-81.99155,0.4979801
161,54.644753,-82.0935,0.52477115
162,61.23027,-82.12975,0.44198248
163,70.63182,-82.085884,0.44308418
164,78.78431,-82.02016,0.31407455
165,89.266174,-81.99739,0.3897584
166,99.66211,-81.943115,0.42893025
167,100.010544,-81.892685,0.4729965
168,99.632576,-81.84148,0.6241758
169,99.45908,-81.78266,0.64947766
170,99.47817,-81.78995,0.5922468
171,99.463615,-81.80498,0.5753372
172,99.71832,-81.77755,0.6191912
173,99.81237,-81.80222,0.5338782
174,107.34169,-81.74489,0.47517467
175,118.61097,-81.76352,0.6232657
