,f0_hz,loudness_db,f0_confidence
91,33.016483,-81.74175,0.0539293
92,34.091022,-81.52799,0.0751088
93,35.96724,-81.17618,0.085950315
94,38.485252,-80.6584,0.05302167
95,41.173214,-80.21805,0.0367631
96,44.701824,-80.02019,0.056512028
97,48.381546,-80.31179,0.039686203
98,52.990807,-80.78887,0.036633372
99,55.535572,-81.29059,0.043743074
100,55.394894,-81.595024,0.068020195
101,55.141594,-81.47801,0.055018753
102,54.720573,-81.32439,0.06340617
103,54.721104,-81.4626,0.22926664
104,54.865433,-81.58067,0.24352315
105,54.78227,-81.6048,0.2706812
106,54.746956,-81.59647,0.30697125
107,54.683044,-81.58955,0.35508618
108,54.753918,-81.81861,0.6232133
109,54.74992,-82.00064,0.5979952
110,54.68331,-82.17009,0.5005019
111,54.734474,-82.25179,0.12243101
112,54.82305,-82.182144,0.026117057
113,54.926712,-82.16153,0.0070488453
114,55.04302,-82.189804,0.007980287
115,55.309696,-82.00665,0.019649416
116,55.416363,-82.17067,0.022646964
117,55.454132,-82.176895,0.057044357
118,55.470177,-82.19032,0.10846886
119,55.143646,-81.90243,0.065262794
120,54.946186,-81.768265,0.04933521
121,54.54023,-81.68547,0.059301198
122,54.000954,-81.50335,0.09113902
123,54.065693,-81.42099,0.17674273
124,54.03371,-81.196465,0.37818384
125,54.152573,-81.08447,0.52399546
126,54.398502,-81.204506,0.70477086
127,54.63139,-81.05769,0.7333924
128,54.397038,-80.99185,0.6122418
129,54.4274,-80.84995,0.683631
130,54.35304,-80.78967,0.5670868
131,54.296967,-81.01981,0.36074442
132,54.375248,-81.29633,0.19184133
133,53.880398,-81.57505,0.02759257
134,54.16299,-81.61476,0.013199091
135,54.462353,-81.558655,0.014832199
136,54.55753,-81.4676,0.019284636
137,54.662354,-81.69581,0.06912464
138,54.69364,-81.870346,0.09397006
139,54.86471,-81.98506,0.07286385
140,54.90971,-82.07133,0.20086601
141,55.10027,-82.22261,0.5501371
142,55.13159,-82.20539,0.58045715
143,55.027245,-82.04553,0.8522246
144,54.99937,-82.00837,0.9140866
145,54.921204,-82.001755,0.88749117
146,54.782707,-81.94521,0.87408745
147,54.750572,-81.87192,0.8339622
148,54.75258,-81.63654,0.80463743
149,54.787334,-81.74379,0.7941651
150,54.790127,-81.85362,0.81714356
151,54.727703,-81.90379,0.7744986
152,54.712215,-81.901695,0.68058753
153,54.615555,-82.160965,0.68185073
154,54.58945,-82.47473,0.7287184
155,54.56288,-82.488045,0.84089917
156,54.488113,-82.590996,0.8219873
157,54.50964,-82.47053,0.8112037
158,54.667423,-82.30551,0.8321333
159,54.66299,-82.16872,0.4956484
160,54.657784,-82.072235,0.28519845
161,54.524723,-82.104324,0.1766352
162,54.312656,-82.13301,0.123863995
163,54.149197,-82.238266,0.43580112
164,54.19979,-82.3644,0.39702913
165,54.122036,-82.45917,0.40732503
166,54.368076,-82.65101,0.55622673
167,54.477203,-82.58925,0.19093984
168,55.019722,-82.42511,0.15467331
169,55.00244,-82.485664,0.19308457
170,55.080772,-82.49456,0.2196418
171,54.97763,-82.28483,0.09267807
172,54.658978,-82.24158,0.101083666
173,54.54352,-82.36511,0.06362879
174,54.080055,-82.50529,0.06489724
175,53.87525,-82.761024,0.15513581
176,53.79516,-82.88113,0.25808626
177,53.758675,-82.974464,0.45655337
178,53.92363,-82.89646,0.40135807
179,54.126087,-83.20178,0.4269558
180,53.90063,-83.924355,0.09897262
181,50.877846,-84.29243,0.049809992
182,45.65944,-84.64083,0.02060467
183,42.82723,-85.04912,0.023440838
184,39.129524,-85.40726,0.03184077
185,35.761883,-85.77096,0.04151106
186,32.323387,-86.219795,0.02520296
187,32.07684,-87.0532,0.017461747
188,32.12216,-88.00385,0.013125002
189,32.136505,-88.62823,0.010875136
190,32.31739,-88.75564,0.010168344
191,32.58499,-88.58052,0.014461726
192,32.739754,-88.24678,0.009317279
193,32.807583,-87.93068,0.010257363
194,32.711113,-87.63899,0.015125692
195,32.573765,-87.555275,0.031618774
196,32.574463,-87.45163,0.018951684
197,32.97671,-87.3502,0.028621912
198,34.68209,-87.41125,0.046492487
199,34.831978,-87.31015,0.060994208
200,34.750614,-87.443436,0.060581416
201,34.79829,-87.585556,0.07813129
202,35.08628,-87.62546,0.14373499
203,35.192265,-87.71881,0.08233833
204,35.092453,-87.66171,0.11117223
205,35.11569,-87.54803,0.08491385
206,34.978104,-87.63418,0.1579451
207,34.86739,-87.50249,0.14337271
208,34.954918,-87.29645,0.19115102
209,35.09539,-86.907684,0.14617041
210,33.2858,-86.652596,0.17690715
211,32.53652,-86.61655,0.20417622
212,32.495216,-86.55257,0.2148991
213,32.526592,-86.60739,0.17240757
214,32.54402,-86.887215,0.26166227
215,32.67142,-86.99592,0.25473464
216,32.85424,-87.01213,0.13052592
217,34.204353,-86.85935,0.2567149
218,34.03482,-86.86173,0.49108246
219,34.06817,-86.88608,0.65714043
220,34.01844,-86.88168,0.62266093
221,33.971413,-86.99765,0.5633167
222,34.066116,-86.888954,0.10775167
223,34.153,-86.87299,0.10738751
224,34.22936,-86.88132,0.19403157
225,34.586586,-86.8859,0.27745688
226,34.98405,-86.93333,0.28557488
227,35.041943,-86.84702,0.4405976
228,35.131985,-86.88828,0.4404304
229,34.94684,-86.99652,0.37675828
230,34.875294,-87.162224,0.26985857
231,34.74922,-87.21244,0.09533167
232,34.79481,-87.18593,0.30522913
233,35.053608,-87.265465,0.16189855
234,35.201202,-87.37026,0.12338126
235,35.32281,-87.3181,0.15188858
236,35.35113,-87.213066,0.19954962
237,35.43067,-87.18744,0.39952293
238,35.429256,-87.187355,0.52884525
239,35.321968,-87.13845,0.5502969
240,35.165302,-87.18808,0.3466949
241,34.983067,-87.15927,0.19979885
242,34.979656,-86.99497,0.1673201
243,33.259617,-86.92486,0.2099489
244,32.691837,-86.9836,0.29076493
245,32.73144,-87.16953,0.25441617
246,32.69162,-87.23539,0.2986799
247,32.54699,-87.21803,0.25287846
248,32.40677,-87.118866,0.27889746
249,32.42292,-87.016754,0.2507815
250,32.459606,-86.89691,0.3367303
251,32.58347,-86.70672,0.31103152
252,32.553677,-86.46297,0.25892517
253,32.63321,-86.33547,0.16682342
254,32.568817,-86.32487,0.18616673
255,32.498432,-86.42904,0.30841953
256,32.47477,-86.34657,0.3514291
257,32.546158,-86.395256,0.38224772
258,32.607803,-86.37603,0.24954283
259,32.654514,-86.41205,0.28329733
260,32.66036,-86.6031,0.28811342
261,32.61539,-86.69234,0.20747909
262,32.64829,-86.70851,0.17994702
263,33.369064,-86.65809,0.17466468
264,34.85108,-86.75034,0.15565225
265,34.821487,-86.89947,0.2296935
266,34.724945,-87.05559,0.29019603
267,34.473053,-87.16432,0.21451223
268,34.425404,-87.16438,0.22275946
269,34.355896,-87.25504,0.27021876
270,34.318867,-87.48981,0.22908503
271,34.38766,-87.47143,0.17513514
272,34.54138,-87.20968,0.09956631
273,35.927532,-87.1299,0.15887523
274,36.039864,-87.147,0.23253334
275,36.14431,-86.99543,0.15136957
276,36.038868,-87.084656,0.14755219
277,36.148026,-87.1621,0.16768432
278,35.968853,-87.35858,0.17288005
279,36.00171,-87.39329,0.21697101
280,36.325436,-87.27059,0.09911463
281,36.32268,-87.194664,0.062742084
282,35.943302,-87.16231,0.070488304
283,35.70132,-87.118095,0.053286582
284,35.358765,-87.12521,0.076513976
285,35.254425,-86.98589,0.22999957
286,34.99932,-87.09501,0.3426212
287,34.97276,-87.16998,0.46042037
288,34.90248,-87.250275,0.64483154
289,34.720737,-87.25352,0.67636377
290,34.825127,-87.170006,0.5212588
291,34.826626,-87.258545,0.10070917
292,33.408764,-87.30413,0.07518688
293,33.012306,-87.22701,0.29818594
294,32.990566,-87.26498,0.5151535
295,32.888023,-87.28778,0.62679505
296,32.88553,-87.30614,0.64819807
297,32.877438,-87.36012,0.62928444
298,32.947582,-87.33362,0.5901619
299,32.867695,-87.24673,0.43837664
300,35.869392,-87.16083,0.30390507
301,39.70654,-87.13966,0.46414158
302,43.399117,-87.21211,0.34682816
303,43.46836,-87.216644,0.26091403
304,43.668343,-87.249084,0.21004662
305,43.768665,-87.47062,0.13458756
306,43.667553,-87.44334,0.16490558
307,43.738373,-87.37606,0.08328313
308,43.789803,-87.3319,0.071763456
309,43.553734,-87.31356,0.05557552
310,43.793144,-87.16966,0.07115665
311,43.853626,-87.23481,0.17402929
312,43.703384,-87.223976,0.22451007
313,43.445538,-87.14181,0.24281216
314,43.20766,-87.12354,0.4507322
315,43.111652,-87.16641,0.25636762
316,39.293987,-87.171616,0.23338723
317,34.82139,-87.08273,0.256572
318,32.06297,-87.01993,0.1333346
319,32.060627,-87.15352,0.2808417
320,32.048573,-87.11949,0.32608622
321,32.132298,-87.214775,0.15339187
322,32.26226,-87.37186,0.10065335
323,35.36565,-87.59682,0.11016345
324,35.87098,-87.5552,0.18954733
325,35.788353,-87.61639,0.18500888
326,35.902283,-87.8109,0.19765323
327,36.219955,-87.85692,0.11735183
328,36.283592,-87.90741,0.13989297
329,36.03774,-87.78108,0.19848973
330,35.81237,-87.72531,0.11940467
331,35.622505,-87.37236,0.09552789
332,38.834023,-87.36599,0.08688322
333,38.94571,-87.11393,0.085956275
334,38.821274,-86.97481,0.163326
335,38.885868,-86.95521,0.19444901
336,38.84456,-86.91536,0.22409216
337,38.934177,-86.93351,0.2738239
338,38.97233,-87.05384,0.18008807
339,38.945805,-87.217064,0.11767405
340,38.879856,-87.46907,0.10131395
341,36.96414,-87.61479,0.08739716
342,35.967255,-87.575935,0.12594265
343,35.880333,-87.52507,0.11348796
344,33.3623,-87.429726,0.08170372
345,32.501324,-87.43748,0.054395348
346,32.5083,-87.46162,0.04619965
347,32.442875,-87.55639,0.08165079
348,32.458466,-87.72259,0.07602811
349,32.408947,-87.732155,0.06687614
350,32.325302,-87.67516,0.0826152
351,32.25502,-87.612755,0.13323799
352,32.183598,-87.470276,0.12621838
353,32.122795,-87.384186,0.22515845
354,32.15087,-87.41327,0.14023003
355,32.0603,-87.4911,0.06908798
356,32.038578,-87.44489,0.05224529
357,32.06036,-87.50129,0.05792424
358,32.14654,-87.450035,0.0662868
359,32.246414,-87.33007,0.04051003
360,32.48952,-87.12929,0.04943481
361,33.153873,-87.175446,0.11980441
362,34.189312,-87.2844,0.15735024
363,34.74293,-87.472145,0.20113745
364,32.724068,-87.53153,0.15524226
365,32.358,-87.61102,0.1137003
366,32.248734,-87.64481,0.073186725
367,32.22935,-87.76076,0.054519743
368,34.801895,-87.82387,0.06478456
369,37.228462,-87.66087,0.025123626
370,36.83326,-87.51656,0.042195648
371,36.216866,-87.39211,0.11723828
372,36.10305,-87.296394,0.031741798
373,34.665993,-87.41073,0.027145356
374,34.133747,-87.429405,0.017226279
375,34.274944,-87.398125,0.011115193
376,34.44448,-87.55336,0.04059297
377,34.841877,-87.587135,0.02551353
378,34.860523,-87.6469,0.022692531
379,34.881542,-87.747696,0.026854873
380,35.109486,-87.719894,0.03145042
381,33.253254,-87.5071,0.02052188
382,32.25636,-87.7583,0.017923534
383,32.2845,-87.90971,0.010443717
384,32.28348,-87.833694,0.02692464
385,32.301464,-87.84415,0.019910961
386,32.323853,-87.70354,0.020637244
387,32.43741,-87.47784,0.040626764
388,32.42265,-87.386475,0.12505928
389,32.50338,-87.300545,0.06819457
390,32.41952,-87.180984,0.026473254
391,32.274773,-87.332054,0.02414456
392,32.321857,-87.5427,0.026174068
393,32.275066,-87.75694,0.028777093
394,32.30817,-87.900475,0.03593442
395,32.44126,-87.83485,0.059834957
396,32.493195,-87.64711,0.14702624
397,32.598877,-87.49669,0.1761995
398,32.467594,-87.34012,0.24616966
399,32.47584,-87.367065,0.17993814
400,32.4911,-87.501,0.12471649
401,32.44552,-87.5671,0.10186875
402,32.320606,-87.516396,0.045605212
403,32.26144,-87.54717,0.029552817
404,32.28744,-87.55301,0.01952526
405,32.35504,-87.428795,0.023019165
406,32.450512,-87.46087,0.058212966
407,32.441475,-87.37636,0.09111601
408,32.491737,-87.46136,0.23470336
409,32.45512,-87.646614,0.17961228
410,32.43892,-87.609406,0.23770028
411,32.411762,-87.69073,0.34870362
412,32.41152,-87.596634,0.46056166
413,32.394173,-87.65116,0.5275078
414,32.398117,-87.67372,0.49173284
415,32.4298,-87.6963,0.4391727
416,34.614677,-87.48238,0.41837114
417,36.300755,-87.47886,0.40100545
418,39.65347,-87.44651,0.17052689
419,44.231388,-87.27738,0.15124205
420,47.341095,-87.259964,0.14240402
421,52.685467,-87.24897,0.07973984
422,52.696827,-87.257774,0.06883451
423,54.258118,-87.27095,0.108977854
424,54.199715,-87.09683,0.137896
425,54.03343,-87.05906,0.31312802
426,54.01237,-87.14267,0.32891923
427,54.606968,-87.00115,0.47015136
428,54.902054,-86.920685,0.40723258
429,55.22221,-87.075264,0.58873117
430,55.06898,-86.99534,0.63017416
431,54.617016,-86.94538,0.49657735
432,54.33307,-86.85255,0.47073933
433,54.470985,-87.00227,0.24398428
434,54.799156,-86.986626,0.068707794
435,57.1262,-86.94549,0.08306706
436,60.84155,-86.87456,0.051135868
437,63.972942,-86.909065,0.01559332
438,69.21259,-87.03462,0.014626503
439,73.19167,-87.085075,0.016573101
440,76.63371,-87.09826,0.025013447
441,82.63582,-86.97816,0.019746065
442,85.739235,-87.04174,0.03796047
443,91.44127,-87.256905,0.09022045
444,99.14972,-87.43794,0.12747943
445,102.70436,-87.627464,0.07772806
446,107.59177,-87.73707,0.1375176
447,114.13618,-87.71179,0.23868027
448,127.51142,-87.5438,0.09070256
449,133.66466,-87.57769,0.11657825
450,142.838,-87.47661,0.07518318
451,154.00745,-87.227455,0.066557795
452,167.2556,-87.04004,0.033471346
453,177.28888,-87.00092,0.035011917
